Symbol,Name,Sector
MMM,3M Co.,Industrials
ACE,ACE Limited,Financials
ABT,Abbott Laboratories,Health Care
ANF,Abercrombie & Fitch Company A,Consumer Discretionary
ACN,Accenture,Information Technology
ADBE,Adobe Systems Inc,Information Technology
AMD,Advanced Micro Devices,Information Technology
AES,AES Corp,Utilities
AET,Aetna Inc,Health Care
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
GAS,AGL Resources Inc.,Utilities
APD,Air Products & Chemicals Inc,Materials
ARG,Airgas Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
AA,Alcoa Inc,Materials
ALXN,Alexion Pharmaceuticals,Health Care
ATI,Allegheny Technologies Inc,Materials
AGN,Allergan Inc,Health Care
ALL,Allstate Corp,Financials
ANR,Alpha Natural Resources,Energy
ALTR,Altera Corp,Information Technology
MO,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc,Consumer Discretionary
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,American Intl Group Inc,Financials
AMT,American Tower Corp A,Financials
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AMGN,Amgen Inc,Health Care
APH,Amphenol Corp A,Industrials
APC,Anadarko Petroleum Corp,Energy
ADI,Analog Devices Inc,Information Technology
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Mgmt,Financials
APOL,Apollo Group Inc,Consumer Discretionary
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc,Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
AIZ,Assurant Inc,Financials
T,AT&T Inc,Telecommunications Services
ADSK,Autodesk Inc,Information Technology
ADP,Automatic Data Processing,Information Technology
AN,AutoNation Inc,Consumer Discretionary
AZO,AutoZone Inc,Consumer Discretionary
AVB,"AvalonBay Communities, Inc.",Financials
AVY,Avery Dennison Corp,Industrials
AVP,Avon Products,Consumer Staples
BHI,Baker Hughes Inc,Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BK,The Bank of New York Mellon Corp.,Financials
BCR,Bard (C.R.) Inc.,Health Care
BAX,Baxter International Inc.,Health Care
BBT,BB&T Corporation,Financials
BEAM,Beam Inc.,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BBBY,Bed Bath & Beyond,Consumer Discretionary
BMS,Bemis Company,Materials
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIG,Big Lots Inc.,Consumer Discretionary
BIIB,BIOGEN IDEC Inc.,Health Care
BLK,BlackRock,Financials
HRB,Block H&R,Consumer Discretionary
BMC,BMC Software,Information Technology
BA,Boeing Company,Industrials
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Financials
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
BRCM,Broadcom Corporation,Information Technology
BF.B,Brown-Forman Corporation,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
CA,"CA, Inc.",Information Technology
CVC,Cablevision Systems Corp.,Consumer Discretionary
COG,Cabot Oil & Gas,Energy
CAM,Cameron International Corp.,Energy
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,Health Care
CFN,Carefusion,Health Care
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CAT,Caterpillar Inc.,Industrials
CBG,CBRE Group,Financials
CBS,CBS Corp.,Consumer Discretionary
CELG,Celgene Corp.,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink Inc,Telecommunications Services
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab,Financials
CHK,Chesapeake Energy,Energy
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Corp.,Financials
CI,CIGNA Corp.,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CTXS,Citrix Systems,Information Technology
CLF,Cliffs Natural Resources,Materials
CLX,Clorox Co.,Consumer Staples
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
COH,Coach Inc.,Consumer Discretionary
KO,Coca Cola Co.,Consumer Staples
CCE,Coca-Cola Enterprises,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Consumer Discretionary
CMA,Comerica Inc.,Financials
CSC,Computer Sciences Corp.,Information Technology
CAG,ConAgra Foods Inc.,Consumer Staples
COP,ConocoPhillips,Energy
CNX,CONSOL Energy Inc.,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CBE,Cooper Industries,Industrials
GLW,Corning Inc.,Industrials
COST,Costco Co.,Consumer Staples
CVH,Coventry Health Care Inc.,Health Care
COV,Covidien plc,Health Care
CCI,Crown Castle International Corp.,Telecommunications Services
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Caremark Corp.,Consumer Staples
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Industrials,Washington D.C
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DF,Dean Foods,Consumer Staples
DE,Deere & Co.,Industrials
DELL,Dell Inc.,Information Technology
DNR,Denbury Resources Inc.,Energy
XRAY,Dentsply International,Health Care
DVN,Devon Energy Corp.,Energy
DV,"DeVry, Inc.",Consumer Discretionary
DO,Diamond Offshore Drilling,Energy
DTV,DirecTV,Consumer Discretionary
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
RRD,Donnelley (R.R.) & Sons,Industrials
DOV,Dover Corp.,Industrials
DOW,Dow Chemical,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DTE,DTE Energy Co.,Utilities
